N	53.3464	-6.29461	D212	03 Feb 2024	D212\nDublin Heuston to Portlaoise\nExpected Departure 13:20	To Portlaoise
N	53.3531	-6.24591	D915	03 Feb 2024	D915\nDublin Connolly to Maynooth\nExpected Departure 13:17	Northbound
N	53.3831	-6.4242	D336	03 Feb 2024	D336\nClonsilla to M3 Parkway\nExpected Departure 13:16	Northbound
R	53.1454	-7.06361	D210	03 Feb 2024	D210\n12:15 - Dublin Heuston to Portlaoise (5 mins late)\nDeparted Monasterevin next stop Portarlington	To Portlaoise
R	53.3743	-6.48624	D914	03 Feb 2024	D914\n12:45 - Dublin Connolly to Maynooth (0 mins late)\nArrived Leixlip (Confey) next stop Leixlip (Louisa Bridge)	Northbound
R	53.5201	-6.1439	D808	03 Feb 2024	D808\n12:52 - Dublin Connolly to Drogheda (0 mins late)\nArrived Rush and Lusk next stop Skerries	Northbound
